[2026-06-27 07:12:11] [3.0935] [WARNING] [WebSocket] Connection state | Cause: connected | Location: src\app\client.rs:77:59 | Context: {"route":"@internal|internal/connected","status":"connected","version":"wss://ws.warframe.market/socket"}
[2026-06-27 07:12:12] [4.0156] [WARNING] [WebSocket] Connection state | Cause: connected | Location: src\app\client.rs:77:59 | Context: {"route":"@internal|internal/connected","status":"connected","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-27 08:59:13] [6424.6740] [WARNING] [WebSocket] Connection state | Cause: disconnected | Location: src\app\client.rs:77:59 | Context: {"reason":"Connection lost: Some(Protocol(ResetWithoutClosingHandshake)) will retry in 5 seconds","retry_interval":5,"route":"@internal|internal/disconnected","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-27 08:59:18] [6430.1320] [WARNING] [WebSocket] Connection state | Cause: connected | Location: src\app\client.rs:77:59 | Context: {"route":"@internal|internal/connected","status":"connected","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-27 09:16:27] [7459.0463] [WARNING] [WebSocket] Connection state | Cause: disconnected | Location: src\app\client.rs:77:59 | Context: {"reason":"Connection lost: Some(Protocol(ResetWithoutClosingHandshake)) will retry in 5 seconds","retry_interval":5,"route":"@internal|internal/disconnected","version":"wss://ws.warframe.market/socket"}
[2026-06-27 09:16:33] [7464.5229] [WARNING] [WebSocket] Connection state | Cause: connected | Location: src\app\client.rs:77:59 | Context: {"route":"@internal|internal/connected","status":"connected","version":"wss://ws.warframe.market/socket"}
[2026-06-27 11:59:18] [17230.0699] [WARNING] [WebSocket] Connection state | Cause: disconnected | Location: src\app\client.rs:77:59 | Context: {"reason":"Connection lost: Some(Protocol(ResetWithoutClosingHandshake)) will retry in 5 seconds","retry_interval":5,"route":"@internal|internal/disconnected","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-27 11:59:24] [17235.6219] [WARNING] [WebSocket] Connection state | Cause: connected | Location: src\app\client.rs:77:59 | Context: {"route":"@internal|internal/connected","status":"connected","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-27 14:59:24] [28035.5222] [WARNING] [WebSocket] Connection state | Cause: disconnected | Location: src\app\client.rs:77:59 | Context: {"reason":"Connection lost: Some(Protocol(ResetWithoutClosingHandshake)) will retry in 5 seconds","retry_interval":5,"route":"@internal|internal/disconnected","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-27 14:59:29] [28041.0095] [WARNING] [WebSocket] Connection state | Cause: connected | Location: src\app\client.rs:77:59 | Context: {"route":"@internal|internal/connected","status":"connected","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-27 17:59:31] [38843.4129] [WARNING] [WebSocket] Connection state | Cause: disconnected | Location: src\app\client.rs:77:59 | Context: {"reason":"Connection lost: Some(Protocol(ResetWithoutClosingHandshake)) will retry in 5 seconds","retry_interval":5,"route":"@internal|internal/disconnected","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-27 17:59:37] [38848.9495] [WARNING] [WebSocket] Connection state | Cause: connected | Location: src\app\client.rs:77:59 | Context: {"route":"@internal|internal/connected","status":"connected","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-27 20:59:38] [49650.5903] [WARNING] [WebSocket] Connection state | Cause: disconnected | Location: src\app\client.rs:77:59 | Context: {"reason":"Connection lost: Some(Protocol(ResetWithoutClosingHandshake)) will retry in 5 seconds","retry_interval":5,"route":"@internal|internal/disconnected","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-27 20:59:44] [49656.1392] [WARNING] [WebSocket] Connection state | Cause: connected | Location: src\app\client.rs:77:59 | Context: {"route":"@internal|internal/connected","status":"connected","version":"wss://warframe.market/socket?platform=pc"}
